EASINID,Country,Year,Ref
R19422,FI,2008,"Munyaneza et al., 2010"
R11525,FR,1966,"Albouy, 1966"
R19423,AZ,2007,"Balakishiyeva et al., 2011"
R19424,CZ,2016,"Šafárová et al., 2016"
R19425,IT,1994,"Marcone et al., 1997b"
R19426,IT,1997,"Marcone et al., 1997a"
R19427,LT,2004,"Valiunas et al., 2006"
R19428,IT,2003,"Paltrinieri et al., 2003"
R11526,IT,1950,"Rui et al., 1950"
R19429,ES,2005,"Schneider et al., 2005"
R19430,IT,2007,"Landi et al., 2007"
R11527,IT,1933,"Goidanich, 1933"
R11528,IT,1908,"Mader, 1908"
R19431,DE,1994,"Seemüller et al., 1994"
R19432,NL,1951,"de Fluiter and van der Meer, 1953"
R14622,RU,1942,"Bogoyavlenskii, 1942"
R19433,IT,1894,"Cuboni, 1894"
R11529,IT,2004,"Faggioli et al., 2004"
R19434,CZ,1969,"Bojnanský, 1969"
R19435,IT,2005,"Paltrinieri et al., 2005"
R00001,UK,1800,"Denux O, Zagatti P, 2010, Coleoptera families other than Cerambycidae, Curculionidae sensu lato, Chrysomelidae sensu lato and Coccinellidae., BioRisk, 4, 315-406"
R00004,FR,1868,Pellizzari & Germain (2010) BioRisk 4: 475-510
R00005,DK,1765,NOBANIS - European Network on Invasive Alien Species. 
R00006,EE,1830,NOBANIS - European Network on Invasive Alien Species. 
R18689,EE,1953,NOBANIS - European Network on Invasive Alien Species. 
R00007,AT,2007,NOBANIS - European Network on Invasive Alien Species. 
R00008,NO,1900,NOBANIS - European Network on Invasive Alien Species. 
R00010,UK,1871,"Mason W.L. 2012.The role of True Fir Species in the Silviculture of British Forests: past, present and future..Kastamonu Univ., Journal of Forestry Faculty 15-26(15-26)"
R00011,UK,1831,"Mason W.L. 2012.The role of True Fir Species in the Silviculture of British Forests: past, present and future..Kastamonu Univ., Journal of Forestry Faculty 15-26(15-26)"
R00012,NO,1900,NOBANIS - European Network on Invasive Alien Species. 
R00013,DK,1840,NOBANIS - European Network on Invasive Alien Species. 
R00014,PT,1949,"Domingues de Almeida J., Freitas H. 2006.Exotic naturalized flora of continental Portugal – A reassessment.Botanica Complutensis 117-130(117-130)"
R00015,DK,1830,NOBANIS - European Network on Invasive Alien Species. 
R00016,EE,1826,NOBANIS - European Network on Invasive Alien Species. 
R00019,PT,1949,"Domingues de Almeida J., Freitas H. 2006.Exotic naturalized flora of continental Portugal – A reassessment.Botanica Complutensis 117-130(117-130)"
R20136,IL,2018,"Golani D, 2019. First record of the flat needlefish Ablennes hians (Valenciennes, 1846) in the Mediterranean Sea (Osteichthyes, Beloniformes, Belonidae). BioInvasions Records,  https://doi.org/10.3391/bir.2019.8.2.22"
R16884,IT,1972,Rasplus et al. (2010) BioRisk 4: 669–776
R16885,FR,1953,Rasplus et al. (2010) BioRisk 4: 669–776
R00022,FR,1972,Rasplus et al. (2010) BioRisk 4: 669–776
R00024,IT,1985,"Froese and Pauly (2013) FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2013)"
R00026,BE,1951,Manual of the Alien Plants of Belgium. 
R20210,IT,2018,"Dragičević B, Fricke R, Soussi J, Ugarković P, Dulčić J and Azzurro E, 2021. On the occurrence of abudefduf spp. (pisces: Pomacentridae) in the mediterranean sea: A critical review with new records. BioInvasions Records, 188-199, 10(1)."
R19331,MT,2014,"Vella et al., 2016"
R19652,EL,2017,"Giovos I, Bernardi G, Romanidis-Kyriakidis G, marmara D & Kleitou P, 2018. First records of the fish"
R19332,IL,1997,"Goren & Galil, 1998"
R00030,PT,1868,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R00032,PT,1865,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R00031,PT,2002,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R00033,AT,1850,NOBANIS - European Network on Invasive Alien Species. 
R00034,SE,1990,NOBANIS - European Network on Invasive Alien Species. 
R16518,EG,1984,"Zakaria, H.Y., 1992. Distribution and ecology of some zooplankton organisms in the Egyptian Mediterranean waters. M.Sc. thesis. Faculty of Sci., Alexandria Univ.Zakaria, 2006. ACTA ADRIAT., 47 (2): 195-206."
R00035,PT,1981,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R00037,PT,1999,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R00038,PT,1939,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R00039,FR,1790,"Sheppard A.W., Shaw R.H., Sforza R. 2006.Top 20 envrironmental weeds for classical biological control in Europe: a review of opportunities, regulations and other barriers to adoptation..Weed Res. 93-117(93-117)"
R00042,FR,1954,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R00043,CY,1977,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R00044,FR,1899,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R00045,PT,1999,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R00046,IT,1821,"Campagnaro, T., Brundu, G., Burrascano, S., Celesti-Grapow, L., La Mantia, T., Sitzia, T., Badalamenti, E. (2022). Tree invasions in Italian forests, Forest Ecology and Management, 521, 120382, and references therein"
R00047,FR,1800,Biogeography of Mediterranean invasions. 1991
R00048,PT,2002,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R00050,IT,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R00051,IT,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R00053,ES,1800,"Sanz-Elorza M, Dana E, Sobrino E, 2001. Checklist of invasive alien plants in Spain (Iberian Peninsula and Balearic Islands). (Aproximación al listado de plantas alóctonas invasoras reales y potenciales en España.). Lazaroa. 121-131."
R00054,PT,2002,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R00055,PT,1862,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R00056,UK,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R00057,UK,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R00059,UK,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R00061,UK,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R00064,RU,1915,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R00065,BE,2003,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R00066,IT,1501,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R18764,PT,2002,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R00067,ES,1900,Lopez- Vaamonde et al (2010) Biorisk 4: 603-668
R00068,IT,2004,"EPPO reporting service n.11 - 2007, 2007/217"
R17484,ES,1982,"Garcia Raso, J.E, 1982. Famiglia Scyllaridae Latreille 1825 (rustacea, Decapoda) en la region Sur-Mediterranea espanola. Boletin de la Asociacion Espanola de Entomologia, 6 (1): 73-78."
R16519,FR,2006,"WGBOSV, 2006. Report of the ICES/IOC/IMO Working Group on Ballast and Other Ship Vectors (WGBOSV), 13-15 March 2006, Oostende, Belgium."
R00070,IE,1700,Minchin (2007) Aquatic Invasions 2: 341-366
R00072,UK,1991,Uhthoff-Kaufmann (1991) Entomologist's Record and Journal of Variation 103: 189- 192.
R00074,DK,1996,"Hansen,M. 1996. Katalog over Danmarks biller. Ent.Meddr.64(1&2)"
R00075,DK,1964,"Hansen,V., 1964. Fortgnelse over Danmarks Biller. Ent.Meddr.33: 1-504."
R00076,FR,1922,"Denux O, Zagatti P, 2010, Coleoptera families other than Cerambycidae, Curculionidae sensu lato, Chrysomelidae sensu lato and Coccinellidae., BioRisk, 4, 315-406"
R17971,IT,1992,"Pellizzari G , 1993, Homoptera Coccoidea nuovi o poco noti per la fauna italiana., Boll. zool. agraria Bachicolt., 25, 49-55"
R17970,IT,1991,"Pellizzari G , 1993, Homoptera Coccoidea nuovi o poco noti per la fauna italiana., Boll. zool. agraria Bachicolt., 25, 49-55"
R19555,PT,1880,"Méquignon, 1935"
R00079,UK,1978,"Fitton MG, de V. Graham MWR, Boucek ZRJ, Fergusson NDM, Huddleston T, et al. (1978) Hymenoptera. In Kloet GS, Hincks WD (eds). A checklist of British insects. Handbooks for the identification of British insects, 2nd ed. London: Royal Entomological Society"
R00080,NL,1986,"Magis N (1988) Mise à jour du catalogue des Pamphilidae observés en Belgique et dans les pays limitrophes : Hyménoptères, Symphytes. Notes fauniques de Gembloux 16: 1-48."
R18239,TN,2010,"BEN-SOUIssI, J., BOUGHEDIR, W., RIFI, M., CAPAPE, C., AZZURRO, E.. 2014. First record of the twobar sea bream Acanthopagrus bifasciatus (Teleostei: Sparidae) in the Mediterranean Sea. Mediterranean Marine Science,"
R00082,EL,1861,"Grunow In Heufler, A., 1861. IV. Algas. In HEUFLER, Specimen florae cryptogamae septem insularum. Verhandlungen der Zoologisch-Botanischen Gesellschaft Wien, 11, 416-430."
R16520,LY,2007,"Zaouali, J., Ben Souissi, J., Galil, B.S., d’Udekem d’Acoz, C. & ben Abdallah, A., 2007. Grapsoid crabs (Crustacea: Decapoda: Brachyura) new to the Sirte Basin, southern Mediterranean Sea-the roles of vessel traffic and climate change. JMBA, Biodiversity Re"
R00085,IT,1889,Beenen & Roques (2010) Biorisk 4: 267-292
R00086,BG,1980,Beenen & Roques (2010) Biorisk 4: 267-292
R20258,IT,2019,"Zenetos A, Alabno PG, López Garcia E, Stern N, Tsiamis K and Galanidi M, 2022. Established non-indigenous species increased by 40% in 11 years in the Mediterranean Sea. Mediterranean Marine Science, 23(1). https://doi.org/10.12681/mms.29106"
R00088,FR,1969,"CABI-Invasive Species Compendium. Datasheets, maps, images, abstracts and full text on invasive species of the world. "
R00090,UK,1909,Lee M. (1993) Phasmid Studies 4: 15-23
R00091,UK,1920,Lee M. (1993) Phasmid Studies 4: 15-23
R19333,IT,2012,"Langeneck et al., 2015"
R19118,CY,2011,"Langeneck, J., Marcelli, M., & Simak, H. C. (2012). Unexpected alien species in Cyprus waters: Acanthurus coeruleus (Actinopterygii: Acanthuridae). Marine Biodiversity Records, 5, e116."
R19653,EL,2017,"Giovos I, Bernardi G, Romanidis-Kyriakidis G, marmara D & Kleitou P, 2018. First records of the fish"
R00097,IT,1983,Navajas et al. (2010) Biorisk 4: 149-192
R00099,IL,1978,"Barash, A. & Danin, Z., 1986. Further additions to the knowledge of Indo-Pacific mollusca in the Mediterranean Sea. Spixiana, 9(2): 117-141."
R16886,RS,1997,Petanović & Stanković (1999) Acta. Ent. Serb. Spec.issue
R16521,LB,1970,"Lakkis, S., 1976. Considerations on the distribution of pelagic copepods in the eastern Mediterranean off the coast of Lebanon. Acta Adriatica 18: 41–52."
R00102,FR,2004,"Seuront, L., 2005. Hydrodynamic and tidal controls of small-scale phytoplankton patchiness. Mar. Ecol. Prog. Ser. 302:93-101."
R16354,IL,1968,"Berdugo, V., 1974. On the occurrence of Acartia centrura (Copepoda: Calanoida) in the neritic waters of the Eastern Mediterranean. Rapports et Proces-Verbaux des Reunions, Commission Internationale pour I'Exploration Scientifique de la mer Mediterranee 22."
R00104,NL,1912,"Redeke, H.C., 1934. On the occurrence of two pelagic copepods, Acartia bifilosa and Acartia tonsa, in the brackish waters of the Netherlands. Journal du Conseil International de l’Exploration de la Mer 9(1): 39-45."
R00105,ES,2000,"Mifsud D, Coquempot C, Mühlethaler R, Wilson M, Streito J-C, 2010, Other Hemiptera Sternorrhyncha (Aleyrodidae, Phylooxeroidea, and Psylloidea) and Hemiptera Auchenorrhyncha., BioRisk, 4, 511-552"
R18906,IT,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R19728,UK,1996,"Holmes JS, Simons JR, 1996. The Wildlife and Countryside Act 1981 and bird introductions. In: Holmes JS, Simons JR (eds), The Introduction and Naturalisation of Birds. HMSO, London, England, pp 19-24"
R00107,ES,2001,"Martín, A. & Lorenzo, J. A. 2001. Aves Del Archipiélago Canario. Francisco Lemus Editor"
R00109,SE,1749,NOBANIS - European Network on Invasive Alien Species. 
R18865,DK,1987,NOBANIS - European Network on Invasive Alien Species. 
R00111,DK,1957,NOBANIS - European Network on Invasive Alien Species. 
R00113,SE,1996,NOBANIS - European Network on Invasive Alien Species. 
R00115,AT,1900,NOBANIS - European Network on Invasive Alien Species. 
R00116,UK,1688,NOBANIS
R00119,UK,1683,Falk 2011
R00120,UK,800 ,Leslie A. 2005
R00121,BE,1990,NOBANIS - European Network on Invasive Alien Species. 
R00122,AT,1850,NOBANIS - European Network on Invasive Alien Species. 
R00123,AT,1500,NOBANIS - European Network on Invasive Alien Species. 
R00124,SE,1931,Flowers of Cyprus. Plants of medicine. 2nd Edition. 1987
R00127,EE,1805,NOBANIS - European Network on Invasive Alien Species. 
R00128,RU,1927,NOBANIS - European Network on Invasive Alien Species. 
R00129,IT,1974,Rasplus et al. (2010) BioRisk 4: 669–776
R16887,CZ,1952,Navajas et al. (2010) Biorisk 4: 149-192
R16888,RS,1999,Petanović & Stanković (1999) Acta. Ent. Serb. Spec.issue
R16889,RS,1981,Petanović (1988) Eriofidne grinje u Jugoslaviji
R16890,RS,1998,Petanović (1998) Acta Entomol. Serbica 3: 149–157
R00130,BG,1903,Navajas et al. (2010) Biorisk 4: 149-192
R17666,UK,2008,"EPPO reporting service n.11 - 2008, 2008/222"
R16891,RS,1995,Petanović (1997) Allochthonous mite species (Acari) in the Fauna of Yugoslavia. Plant protec. 48: 211-224
R16892,RO,1901,Navajas et al. (2010) Biorisk 4: 149-192
R00131,ES,2009,"Arechavaleta, M., S. Rodríguez, N. Zurita & A. García (Coord.) 2010. Lista de especies silvestres de Canarias (hongos, plantas y animales terrestres) 2009. Gobierno de Canarias. 579 pp."
R16893,ES,1998,González Núñez et al. (2002) Bol. Sanid. Veg. Plagas 28: 415–418.
R16894,EL,1987,Anagnou-Veroniki et al. (2008) Hellenic Plant Prot. J. 1: 55–78.
R16895,IT,1939,Fauna Italia. Eriophyidae. Accessed at http://www.faunaitalia.it/checklist/invertebrates/families/Eriophyidae.html
R16896,RS,1981,"Petanović et al (1983) Archiv. Agric. Sci. 44,156:455-460"
R00132,IT,1600,Navajas et al. (2010) Biorisk 4: 149-192
R00133,ES,2009,"Arechavaleta, M., S. Rodríguez, N. Zurita & A. García (Coord.) 2010. Lista de especies silvestres de Canarias (hongos, plantas y animales terrestres) 2009. Gobierno de Canarias. 579 pp."
R00134,ES,2009,"Arechavaleta, M., S. Rodríguez, N. Zurita & A. García (Coord.) 2010. Lista de especies silvestres de Canarias (hongos, plantas y animales terrestres) 2009. Gobierno de Canarias. 579 pp."
R00135,RS,1903,"Trotter (1903) Nuov. Giorn. Bot. Italiano NS 10, 5-54:210-233"
R17727,RU,1988,Izhevskiy (1988) Entomol. Review 68: 45-51
R17728,FR,1971,"Panis A. & Brun J. (1971) Essais de lutte biologique contre trois espèces de 'Pseudococcidae' (Homoptera, Coccoidea) en serres de plantes vertes. Revue de Zoologie Agricole et de Pathologie Végétale 70: 42-47"
R17729,RU,1966,Elizarova (1966) Zashchita Rasteniy 10: 47-48
R17766,HU,2007,Garai & Gyulai (2008) Növényvédelem 44 : 226-228
R19256,UK,1963,Paul (1963) J. Conch. 25: 200
R19267,BE,1960,Gijzen (1960) Zoo 25: 103-114
R19662,IT,2016,"Ulman A, Ferrario J, Occhipinti-Ambrogi A, Arvanitidis C, Bandi A, et al. 2017. A massive update of"
R00143,AT,1945,NOBANIS - European Network on Invasive Alien Species. 
R00145,LV,1934,NOBANIS
R18484,DK,1932,NOBANIS - European Network on Invasive Alien Species. 
R00147,DK,1939,NOBANIS - European Network on Invasive Alien Species. 
R00148,AT,1760,NOBANIS - European Network on Invasive Alien Species. 
R00149,UK,1804,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R00150,UK,2006,Euro+Med PlantBase - the information resource for Euro-Mediterranean plant diversity.. 2006-
R00151,SE,1870,NOBANIS - European Network on Invasive Alien Species. 
R00152,AT,1945,NOBANIS - European Network on Invasive Alien Species. 
R00153,UK,1781,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R00155,SE,1662,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R00157,SE,1749,NOBANIS - European Network on Invasive Alien Species. 
R18486,DK,1858,NOBANIS - European Network on Invasive Alien Species. 
R00159,IS,1806,http://www.brc.ac.uk/plantatlas/index.php?q=plant/achillea-ptarmica; http://actaplantarum.org/flora/flora_info.php?id=256
R00161,DE,1500,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R18485,FI,1874,NOBANIS - European Network on Invasive Alien Species. 
R00163,BE,1885,DAISIE-Delivering Alien Invasive Species Inventories for Europe. 
R17433,UA,1984,"Guslyakov, N.E. & Gerasemiul, V.P. 1984. About some new and interesting species of diatom algae of the Black Sea. Novosty sistematiki nizshikh rasteny, 21: 14-17 (in Russian).; Nevrova 2003."
R00168,UK,2004,EPPO-PQR
R00169,ES,1817,Goberno de Canarias. Especies introducidas en Canarias. 2014
R00171,EL,2005,"Holeva et al., 2009"
R00172,DE,1901,"Kraepelin K, 1901, Ueber die durch den Schiffsverkehr in Hamburg eingeschleppten Tiere, 2. Beih. Jb. Hamburg. Wiss. Anst., 18, 183-209"
R00174,EE,1960,"Froese and Pauly (2013) FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2013)"
R00176,EE,1962,"Arman, J., 1968. Tuurlased Soome lahes. Eesti Loodus, 6: 367-368."
R00179,PL,1837,"Froese and Pauly (2013) FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2013)"
R00181,CZ,1993,"Froese and Pauly (2013) FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2013)"
R00182,IT,1987,"Froese and Pauly (2013) FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2013)"
R00184,FR,1981,"Mifsud D, Coquempot C, Mühlethaler R, Wilson M, Streito J-C, 2010, Other Hemiptera Sternorrhyncha (Aleyrodidae, Phylooxeroidea, and Psylloidea) and Hemiptera Auchenorrhyncha., BioRisk, 4, 511-552"
